strategy,density_veh_s,throughput_per_min,mean_delay_s,mean_speed_px_s,min_ttc_s,ttc_violations,total_stops,completed
FixedPriority,0.1,5.184,1.23429,87.723,1.25812,4.44,16.56,8.64
FixedPriority,0.2,10.188,1.65929,81.7777,0.0322482,25.52,35.42,16.98
FixedPriority,0.3,14.4,2.22645,77.1465,0.00597526,65.9,55.84,24
FixedPriority,0.4,18.648,2.78391,76.1683,0.00146757,109.78,74.8,31.08
FixedPriority,0.5,20.1,3.51706,63.3935,0,201.7,101.06,33.5
FixedPriority,0.6,18.552,4.32484,49.6995,0,287.92,121.4,30.92
FixedPriority,0.7,18.792,6.09654,42.8474,0.00115666,383.96,142.62,31.32
FixedPriority,0.8,19.62,6.20224,40.3277,0,446.34,156.26,32.7
P2P,0.1,5.268,1.21519,88.2328,0.580571,4.02,17.12,8.78
P2P,0.2,10.212,1.52748,82.7127,0.0510567,25.66,35.34,17.02
P2P,0.3,15.108,2.11169,80.7277,0.00911253,60.44,54.9,25.18
P2P,0.4,17.364,2.42796,72.0812,0.00964422,110.7,73.76,28.94
P2P,0.5,20.616,3.87427,65.6286,0,201.06,98.34,34.36
P2P,0.6,21.3,4.96393,54.4008,4.41914e-05,305.46,123.92,35.5
P2P,0.7,22.332,6.36378,48.8722,0.00105181,396.5,143.34,37.22
P2P,0.8,21.036,6.92293,41.7469,0.000268667,468.58,155.06,35.06
AIM,0.1,5.244,1.26766,86.9504,1.07909,4.14,16.7,8.74
AIM,0.2,10.176,2.09779,81.0971,0.0363626,23.8,36.66,16.96
AIM,0.3,15,3.9229,74.0512,0.00863092,77.9,61.12,25
AIM,0.4,17.472,5.03149,64.5338,0.00103316,155.7,82.94,29.12
AIM,0.5,19.356,6.7591,54.504,0,263.48,105.5,32.26
AIM,0.6,18.912,8.44809,43.7715,0.00648931,375.9,126.74,31.52
AIM,0.7,21.9,9.67611,43.0512,0.00180272,487.68,146.52,36.5
AIM,0.8,18.468,9.53821,34.429,0,516.04,152.24,30.78
VirtualPlatoon,0.1,5.208,1.26149,84.1012,0.597057,4.68,16.56,8.68
VirtualPlatoon,0.2,10.308,1.58371,81.02,0.0337653,26.32,35.1,17.18
VirtualPlatoon,0.3,14.964,2.0413,80.407,0.00910994,64.18,53.62,24.94
VirtualPlatoon,0.4,17.34,3.06444,71.9826,0,118.88,73.38,28.9
VirtualPlatoon,0.5,17.676,2.67433,61.6193,0.00111299,187.34,91.9,29.46
VirtualPlatoon,0.6,18.732,3.4681,53.935,0,255.96,112.72,31.22
VirtualPlatoon,0.7,17.124,3.8051,43.9327,0.00252931,307.12,128.62,28.54
VirtualPlatoon,0.8,18.444,4.99457,42.8317,0,375.12,143.54,30.74
ORCA,0.1,5.184,1.29716,86.9496,0.175694,4.44,16.94,8.64
ORCA,0.2,10.5,1.59484,85.246,0.0280959,22.26,34.72,17.5
ORCA,0.3,15.696,2.11087,82.9881,0.0047868,59.88,54.74,26.16
ORCA,0.4,19.416,2.81961,78.1434,0.000772822,111.14,74.32,32.36
ORCA,0.5,23.112,3.84977,72.173,0,195.04,98.46,38.52
ORCA,0.6,24.468,5.49785,60.2795,0,324.26,125.68,40.78
ORCA,0.7,24.252,6.89926,50.4652,0,452.12,144.16,40.42
ORCA,0.8,22.128,8.51525,39.5954,0,559.46,160.26,36.88
Roundabout,0.1,5.148,2.37021,80.9255,1.44952,4.24,16.86,8.58
Roundabout,0.2,9.948,2.96638,75.1045,0.0405346,31.24,36.86,16.58
Roundabout,0.3,12.084,4.60122,63.5862,0.00892309,81.82,59.32,20.14
Roundabout,0.4,13.92,5.59401,56.0323,0,147.22,83.02,23.2
Roundabout,0.5,12.264,4.74494,43.239,0.00155064,206.98,104.12,20.44
Roundabout,0.6,10.824,6.24469,34.1509,0,258.66,121.58,18.04
Roundabout,0.7,10.152,6.65893,28.6214,0,300.08,138.6,16.92
Roundabout,0.8,13.14,7.2813,29.8533,0,378.76,157.46,21.9
